c3-s4  220.6    1.8305      SOURCE1_SOURCE5     326	 0.0096
c3-s6  233.5    1.8075      SOURCE1_SOURCE5     644	 0.0143
c3-sh  213.7    1.8435      SOURCE3_SOURCE5     189	 0.0058
c3-ss  215.9    1.8392      SOURCE1_SOURCE5    2732	 0.0105
c3-sx  214.6    1.8418      SOURCE3_SOURCE5      99	 0.0121
c3-sy  232.8    1.8087      SOURCE3_SOURCE5     162	 0.0094
ca-ca  461.1    1.3984      SOURCE1_SOURCE5  121206	 0.0061
ca-cc  385.1    1.4555      SOURCE1_SOURCE5    2424	 0.0121
ca-cd  385.1    1.4555      SOURCE1_SOURCE5    2424	 0.0121
ca-ce  361.3    1.4763      SOURCE1_SOURCE5    1750	 0.0089
ca-cf  361.3    1.4763      SOURCE1_SOURCE5    1750	 0.0089
ca-cg  413.3    1.4328      SOURCE1_SOURCE5     318	 0.0029
ca-ch  413.3    1.4328      SOURCE1_SOURCE5     318	 0.0029
ca-cl  305.6    1.7502      SOURCE1_SOURCE5    2919	 0.0059
ca-cp  450.2    1.4058         CORR_SOURCE5    2042	 0.0049
ca-cq  450.2    1.4058         CORR_SOURCE5    2042	 0.0049
ca-cx  340.5    1.4960               5/2017      67	 0.0051
ca-cy  320.8    1.5160               5/2017      27	 0.0058
ca-f   357.8    1.3490      SOURCE1_SOURCE5    1239	 0.0057
ca-h4  341.5    1.0890      SOURCE3_SOURCE5    2643	 0.0010
ca-h5  343.2    1.0878      SOURCE3_SOURCE5     299	 0.0007
ca-ha  345.8    1.0860      SOURCE3_SOURCE5   65456	 0.0010
ca-i   234.9    2.1288      SOURCE1_SOURCE5      61	 0.0076
ca-n1  494.6    1.3350      SOURCE3_SOURCE5       6	 0.0078
ca-n2  551.6    1.3030              SOURCE4       7	 0.0058
ca-n   384.2    1.4121      SOURCE3_SOURCE5    1254	 0.0090
ca-n4  307.0    1.4842      SOURCE1_SOURCE5      28	 0.0065
ca-na  420.5    1.3840      SOURCE1_SOURCE5    2751	 0.0095
ca-nb  488.0    1.3390      SOURCE3_SOURCE5    6806	 0.0055
ca-nc  467.7    1.3517      SOURCE1_SOURCE5    2672	 0.0030
ca-nd  467.7    1.3517      SOURCE1_SOURCE5    2672	 0.0030
ca-ne  389.3    1.4079      SOURCE1_SOURCE5     276	 0.0093
ca-nf  389.3    1.4079      SOURCE1_SOURCE5     276	 0.0093
ca-nh  417.9    1.3859      SOURCE1_SOURCE5    2785	 0.0134
