c5-cy  224.00   1.5425                2021      188   0.0060
c5-f   291.13   1.3917                2021       53   0.0116
c5-h1  343.78   1.0972                2021    10329   0.0048
c5-h2  346.28   1.0955                2021     1258   0.0021
c5-h3  345.84   1.0958                2021        8   0.0026
c5-hc  346.43   1.0954                2021    10951   0.0014
c5-hx  351.96   1.0917                2021      247   0.0013
c5-i    91.50   2.2305                2021        3   0.0071
c5-n2  248.77   1.4714                2021      292   0.0050
c5-n   251.07   1.4685                2021      720   0.0062
c5-n3  249.40   1.4706                2021      817   0.0057
c5-n4  202.77   1.5371                2021      131   0.0100
c5-n7  249.40   1.4706                2021      291   0.0062
c5-n8  257.41   1.4607                2021       48   0.0038
c5-na  260.40   1.4571                2021      301   0.0067
c5-nh  249.24   1.4708                2021      283   0.0077
c5-nj  265.74   1.4508                2021       58   0.0053
c5-no  207.66   1.5293                2021        6   0.0127
c5-np  232.51   1.4928                2021        2   0.0088
c5-ns  262.59   1.4545                2021      201   0.0046
c5-nu  250.52   1.4692                2021      264   0.0053
c5-nx  213.47   1.5203                2021       11   0.0115
c5-ny  213.80   1.5198                2021       12   0.0134
c5-o   600.45   1.2147                2021        1   0.0000
c5-oh  289.69   1.4194                2021     1414   0.0062
c5-os  275.61   1.4346                2021     3460   0.0083
c5-p3  181.73   1.8805                2021        8   0.0027
c5-p5  188.38   1.8661                2021       18   0.0103
c5-py  191.77   1.8590                2021        7   0.0049
c5-s   190.58   1.8285                2021        1   0.0000
c5-s4  172.18   1.8686                2021       15   0.0155
c5-s6  171.83   1.8694                2021       21   0.0246
c5-sh  179.52   1.8520                2021        2   0.0003
c5-ss  180.02   1.8509                2021      377   0.0122
c5-sx  160.80   1.8961                2021        3   0.0102
c5-sy  179.61   1.8518                2021        5   0.0184
c6-c6  226.81   1.5384                2021    20772   0.0060
c6-ca  239.73   1.5203                2021     2153   0.0056
c6-cc  253.39   1.5024                2021      420   0.0044
c6-cd  250.49   1.5061                2021      329   0.0063
c6-ce  239.14   1.5211                2021      450   0.0057
c6-cf  235.86   1.5256                2021       80   0.0072
c6-cl  152.16   1.8384                2021       61   0.0111
c6-cs  221.44   1.5463                2021       10   0.0081
c6-cv  254.58   1.5009                2021        1   0.0000
c6-cx  234.27   1.5278                2021      171   0.0068
c6-cy  225.51   1.5403                2021       41   0.0048
c6-f   279.10   1.4043                2021      102   0.0120
c6-h1  342.02   1.0984                2021    13104   0.0033
c6-h2  341.88   1.0985                2021      580   0.0033
c6-h3  345.84   1.0958                2021        7   0.0036
c6-hc  342.75   1.0979                2021    25170   0.0014
c6-hx  349.85   1.0931                2021      373   0.0009
c6-i    86.32   2.2585                2021        8   0.0109
c6-n1  282.46   1.4320                2021        3   0.0010
c6-n2  258.07   1.4599                2021      102   0.0059
c6-n   252.36   1.4669                2021      513   0.0065
